A_Fighter,B_Fighter,Division,WinBy,EventYear,EventLocation,A_height,A_weight,A_range,A_Stance,A_YearBirth,A_SigStrikeLanded,A_SigStrikeAcc,A_SigStrikeAbsorb,A_SigStrikeDef,A_TakedownAvg,A_TakedownAcc,A_TakedownDef,A_SubAvg,B_height,B_weight,B_range,B_Stance,B_YearBirth,B_SigStrikeLanded,B_SigStrikeAcc,B_SigStrikeAbsorb,B_SigStrikeDef,B_TakedownAvg,B_TakedownAcc,B_TakedownDef,B_SubAvg
Hermes Franca,Richard Crunkilton,Lightweight,U-DEC,2003.0,Miami,66.0,155.0,71.0,Orthodox,1974.0,1.78,39.0,2.85,55.0,1.53,36.0,37.0,2.4,67.0,155.0,--,Orthodox,1979.0,1.72,41.0,1.45,58.0,4.08,61.0,65.0,1.3
David Loiseau,Mark Weir,Middleweight,KO/TKO,2003.0,Miami,72.0,185.0,76.0,Orthodox,1979.0,1.59,44.0,3.64,43.0,0.43,42.0,36.0,0.1,74.0,185.0,--,Southpaw,1967.0,1.54,56.0,2.5,38.0,0.8,50.0,25.0,2.4
Tim Sylvia,Ricco Rodriguez,Heavyweight,KO/TKO,2003.0,AtlanticCity,80.0,265.0,80.0,Orthodox,1976.0,4.23,41.0,2.61,61.0,0.11,100.0,75.0,0.1,76.0,265.0,--,Orthodox,1977.0,1.85,51.0,1.15,61.0,2.3,39.0,40.0,1.0
Frank Mir,David Abbott,Heavyweight,SUB,2003.0,AtlanticCity,75.0,264.0,79.0,Southpaw,1979.0,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,72.0,265.0,--,Switch,--,1.35,30.0,3.55,38.0,1.07,33.0,66.0,0.0
BJ Penn,Caol Uno,Lightweight,S-DEC,2003.0,AtlanticCity,69.0,155.0,70.0,Orthodox,1978.0,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5,67.0,155.0,70.0,Southpaw,1975.0,1.91,49.0,1.9,50.0,1.95,31.0,37.0,0.5
Matt Lindland,Phil Baroni,Middleweight,U-DEC,2003.0,AtlanticCity,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3,69.0,170.0,72.0,Orthodox,1976.0,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5
Vladimir Matyushenko,Pedro Rizzo,Heavyweight,U-DEC,2003.0,AtlanticCity,72.0,205.0,74.0,Orthodox,1971.0,1.9,44.0,1.62,59.0,3.25,46.0,70.0,0.1,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0
Din Thomas,Matt Serra,Lightweight,S-DEC,2003.0,AtlanticCity,69.0,155.0,--,Orthodox,1976.0,1.85,37.0,2.6,59.0,1.38,52.0,76.0,1.2,66.0,170.0,68.0,Orthodox,1974.0,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9
Gan McGee,Alexandre Dantas,Heavyweight,KO/TKO,2003.0,AtlanticCity,82.0,265.0,--,Orthodox,1976.0,2.2,29.0,2.31,59.0,0.65,25.0,83.0,0.0,74.0,238.0,--,Orthodox,1979.0,0.21,25.0,1.87,60.0,0.0,0.0,0.0,3.1
Yves Edwards,Rich Clementi,Lightweight,SUB,2003.0,AtlanticCity,69.0,155.0,73.0,Southpaw,1976.0,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7,69.0,155.0,72.0,Southpaw,1976.0,1.43,37.0,2.29,60.0,1.72,42.0,25.0,1.1
Tito Ortiz,Ken Shamrock,Light Heavyweight,KO/TKO,2002.0,LasVegas,75.0,205.0,74.0,Orthodox,1975.0,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6,73.0,205.0,72.0,Orthodox,1964.0,1.47,46.0,4.3,39.0,0.94,60.0,44.0,2.5
Chuck Liddell,Renato Sobral,Light Heavyweight,KO/TKO,2002.0,LasVegas,74.0,205.0,76.0,Orthodox,1969.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0,73.0,205.0,75.0,Orthodox,1975.0,2.23,45.0,1.53,57.0,2.48,42.0,65.0,2.6
Matt Hughes,Gil Castillo,Welterweight,KO/TKO,2002.0,LasVegas,69.0,170.0,73.0,Switch,1973.0,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,69.0,170.0,--,Southpaw,1965.0,0.6,45.0,2.22,44.0,3.33,45.0,50.0,0.0
Carlos Newton,Pete Spratt,Welterweight,SUB,2002.0,LasVegas,69.0,170.0,--,Orthodox,1976.0,0.65,41.0,1.55,44.0,2.47,70.0,43.0,0.9,69.0,170.0,--,Orthodox,1971.0,1.63,48.0,1.33,55.0,0.3,100.0,46.0,0.3
Robbie Lawler,Tiki Ghosn,Welterweight,KO/TKO,2002.0,LasVegas,71.0,170.0,74.0,Southpaw,1982.0,3.83,46.0,4.67,59.0,0.65,64.0,65.0,0.0,70.0,170.0,--,Orthodox,1977.0,2.78,46.0,2.94,58.0,0.41,50.0,61.0,0.0
Andrei Arlovski,Ian Freeman,Heavyweight,KO/TKO,2002.0,LasVegas,75.0,240.0,77.0,Orthodox,1979.0,3.79,45.0,3.2,57.0,0.4,36.0,76.0,0.2,71.0,225.0,--,Orthodox,1966.0,2.54,48.0,3.11,44.0,1.44,40.0,80.0,0.7
Vladimir Matyushenko,Travis Wiuff,Heavyweight,KO/TKO,2002.0,LasVegas,72.0,205.0,74.0,Orthodox,1971.0,1.9,44.0,1.62,59.0,3.25,46.0,70.0,0.1,75.0,205.0,--,Orthodox,1978.0,0.48,30.0,4.03,41.0,4.84,57.0,44.0,1.2
Phillip Miller,Mark Weir,Middleweight,SUB,2002.0,LasVegas,71.0,185.0,--,Orthodox,1979.0,1.61,54.0,1.93,50.0,3.62,25.0,100.0,0.6,74.0,185.0,--,Southpaw,1967.0,1.54,56.0,2.5,38.0,0.8,50.0,25.0,2.4
Ricco Rodriguez,Randy Couture,Heavyweight,KO/TKO,2002.0,Uncasville,76.0,265.0,--,Orthodox,1977.0,1.85,51.0,1.15,61.0,2.3,39.0,40.0,1.0,73.0,205.0,75.0,Orthodox,1963.0,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5
